customer_id,segment,region,tenure_months,purchases_90d,avg_order_value,support_contacts_90d,days_since_last_purchase,accepted_product
SYN-00035,consumer,south,142,6,316.7,2,0,product_a
SYN-00036,enterprise,south,145,9,1112.83,2,45,product_b
SYN-00037,small_business,west,51,14,336.51,4,22,product_a
SYN-00038,small_business,north,168,12,280.86,3,168,product_a
SYN-00039,consumer,north,66,6,219.79,3,87,product_a
SYN-00040,consumer,east,90,7,138.5,2,32,product_a
SYN-00041,small_business,east,97,13,346.67,0,151,product_a
SYN-00042,consumer,north,36,5,10,2,170,product_c
SYN-00043,small_business,south,150,18,322.8,3,4,product_a
SYN-00044,enterprise,south,101,18,839.49,2,151,product_a
SYN-00045,consumer,east,180,0,127.79,1,20,product_b
SYN-00046,enterprise,south,138,15,1152.39,2,54,product_a
SYN-00047,enterprise,north,124,11,845.58,5,86,product_c
SYN-00048,enterprise,east,31,18,929.74,2,46,product_a
SYN-00049,consumer,north,157,3,143.14,0,124,product_b
SYN-00050,consumer,north,158,5,177.61,4,48,product_a
SYN-00051,small_business,west,14,15,192.13,0,57,product_a
SYN-00052,enterprise,south,28,16,1044.73,0,64,product_a
SYN-00053,consumer,east,68,5,144.75,2,126,product_c
SYN-00054,small_business,west,38,8,44.94,0,75,product_a
SYN-00055,consumer,north,103,5,172.53,0,16,product_a
SYN-00056,enterprise,west,168,9,1162.7,2,52,product_b
SYN-00057,enterprise,north,99,14,826.41,1,148,product_b
SYN-00058,consumer,north,158,4,10,1,101,product_a
SYN-00059,small_business,west,144,9,195.7,1,71,product_a
SYN-00060,consumer,east,63,7,10,0,141,product_a
SYN-00061,enterprise,north,112,18,995.98,2,90,product_a
SYN-00062,consumer,south,115,2,10,0,71,product_b
SYN-00063,consumer,east,85,3,55.57,2,9,product_a
SYN-00064,small_business,east,160,12,305.72,0,19,product_a
SYN-00065,consumer,east,61,2,73.6,0,12,product_a
SYN-00066,consumer,west,102,3,256.62,2,133,product_c
SYN-00067,small_business,west,38,11,395.52,1,2,product_a
SYN-00068,enterprise,south,150,14,986.1,3,144,product_a
SYN-00069,small_business,east,93,7,367.73,0,70,product_a
SYN-00070,enterprise,south,145,18,849.32,1,39,product_a
SYN-00071,consumer,west,140,7,181.33,1,165,product_a
SYN-00072,consumer,east,106,2,44.71,3,171,product_b
SYN-00073,enterprise,north,11,10,881.34,3,162,product_c
SYN-00074,consumer,east,164,6,152.69,1,49,product_a
SYN-00075,consumer,west,180,4,259.31,3,152,product_c
SYN-00076,small_business,north,71,12,299.35,0,18,product_a
SYN-00077,small_business,south,170,8,458.15,1,85,product_b
SYN-00078,consumer,south,156,1,110.24,4,94,product_b
SYN-00079,consumer,north,110,8,24.07,2,20,product_a
SYN-00080,consumer,south,37,0,129.86,1,50,product_b
SYN-00081,small_business,west,131,10,317.92,1,128,product_a
SYN-00082,small_business,south,161,3,388.24,3,121,product_b
SYN-00083,consumer,east,5,4,112.27,2,37,product_a
SYN-00084,enterprise,south,82,12,882.42,3,100,product_c
SYN-00085,small_business,east,28,14,277.44,3,36,product_a
SYN-00086,small_business,east,77,9,258.14,3,94,product_a
SYN-00087,small_business,north,124,11,53.34,4,153,product_a
SYN-00088,enterprise,west,38,12,1074.93,4,61,product_c
SYN-00089,consumer,east,37,8,237.12,2,93,product_a
SYN-00090,enterprise,north,177,10,953.55,1,176,product_b
SYN-00091,small_business,south,10,2,180.57,3,32,product_b
SYN-00092,small_business,west,70,11,448.04,1,89,product_a
SYN-00093,enterprise,west,170,21,1051.02,1,42,product_a
SYN-00094,enterprise,west,3,19,829.53,2,162,product_a
SYN-00095,enterprise,east,112,3,963.14,1,147,product_b
SYN-00096,consumer,south,143,0,100.8,1,121,product_b
SYN-00097,small_business,east,154,7,340.55,5,114,product_b
SYN-00098,enterprise,west,33,22,733.92,1,123,product_a
SYN-00099,small_business,north,133,10,336.03,2,94,product_b
SYN-00100,consumer,west,29,6,10,2,172,product_b
SYN-00101,small_business,west,5,8,141.8,0,74,product_a
SYN-00102,enterprise,north,114,17,953.65,3,31,product_a
SYN-00103,small_business,south,131,10,43.23,0,51,product_a
SYN-00104,enterprise,north,92,14,750.01,0,65,product_a
SYN-00105,consumer,north,41,7,336.49,0,82,product_b
SYN-00106,enterprise,north,24,18,944.29,3,7,product_a
SYN-00107,enterprise,south,72,16,868.41,3,15,product_b
SYN-00108,consumer,south,172,5,10,0,151,product_b
SYN-00109,small_business,south,179,14,229.44,1,130,product_a
SYN-00110,small_business,east,68,10,360.09,2,38,product_a
SYN-00111,consumer,east,6,11,24.27,2,45,product_a
SYN-00112,consumer,south,141,6,63.73,0,65,product_a
SYN-00113,small_business,north,166,9,550.18,3,117,product_b
SYN-00114,enterprise,north,67,14,955.69,0,128,product_a
SYN-00115,enterprise,north,20,10,1015.9,2,33,product_c
SYN-00116,consumer,east,67,4,10,2,171,product_c
SYN-00117,small_business,west,22,5,404.28,2,55,product_b
SYN-00118,enterprise,south,146,19,1156.61,3,170,product_a
SYN-00119,small_business,east,62,5,297.71,2,56,product_c
SYN-00120,enterprise,west,45,19,850.46,5,174,product_a
SYN-00121,enterprise,east,143,15,870.17,1,10,product_a
SYN-00122,small_business,west,17,5,59.35,3,104,product_c
SYN-00123,consumer,west,73,5,91.41,2,26,product_a
SYN-00124,enterprise,west,94,10,921.17,0,96,product_b
SYN-00125,small_business,east,129,7,437.86,4,36,product_b
SYN-00126,enterprise,west,82,15,1207.15,1,21,product_a
SYN-00127,small_business,east,86,15,282.94,1,39,product_a
SYN-00128,small_business,east,78,9,418.37,1,163,product_a
SYN-00129,consumer,north,55,3,41.91,2,126,product_a
SYN-00130,enterprise,south,110,12,1100.96,3,157,product_b
SYN-00131,small_business,east,10,3,458.74,0,29,product_b
SYN-00132,consumer,north,121,0,10,2,158,product_c
SYN-00133,small_business,north,57,13,128.68,0,130,product_a
SYN-00134,consumer,west,29,7,10,4,98,product_a
SYN-00135,consumer,east,65,0,67.73,2,68,product_b
SYN-00136,enterprise,east,167,11,753.71,2,35,product_a
SYN-00137,consumer,north,168,3,10,2,137,product_a
SYN-00138,consumer,north,85,5,10,0,92,product_a
SYN-00139,consumer,east,174,4,277.73,1,142,product_b
SYN-00140,small_business,west,80,12,145.11,3,29,product_a
SYN-00141,enterprise,west,83,18,1180.68,2,103,product_a
SYN-00142,enterprise,east,71,14,818.08,3,138,product_c
SYN-00143,enterprise,south,154,16,722.89,1,172,product_a
SYN-00144,enterprise,south,66,8,1226.6,6,4,product_c
SYN-00145,small_business,east,180,9,153.18,0,157,product_a
SYN-00146,consumer,north,117,0,99.71,1,100,product_a
SYN-00147,enterprise,south,146,20,945.66,2,66,product_a
SYN-00148,small_business,east,52,13,159.3,2,129,product_a
SYN-00149,consumer,north,171,6,10,0,160,product_b
SYN-00150,small_business,east,88,14,281.92,3,38,product_a
SYN-00151,consumer,east,64,0,10,0,19,product_a
SYN-00152,consumer,south,15,3,68.24,3,128,product_c
SYN-00153,consumer,south,151,1,212.32,2,69,product_b
SYN-00154,enterprise,east,165,15,1056.46,2,137,product_a
SYN-00155,consumer,south,21,0,87.24,3,69,product_c
SYN-00156,consumer,north,147,9,38.62,0,140,product_a
SYN-00157,small_business,north,158,0,379.14,3,60,product_c
SYN-00158,enterprise,east,166,18,928.11,3,82,product_b
SYN-00159,small_business,north,91,10,354.44,0,52,product_a
SYN-00160,consumer,east,104,0,111.61,2,115,product_b
SYN-00161,enterprise,east,28,16,990.24,5,79,product_a
SYN-00162,consumer,east,57,0,46.94,1,172,product_c
SYN-00163,consumer,east,127,0,63.22,3,7,product_c
SYN-00164,consumer,north,88,0,125.79,2,158,product_c
SYN-00165,small_business,south,153,7,32.67,0,0,product_a
SYN-00166,small_business,west,165,9,162.58,3,115,product_b
SYN-00167,enterprise,north,75,16,1035.27,3,34,product_a
SYN-00168,consumer,west,120,8,35.19,4,137,product_a
SYN-00169,enterprise,east,99,16,783.06,2,155,product_a
SYN-00170,consumer,north,178,0,189.61,0,22,product_b
SYN-00171,small_business,east,90,1,338.85,4,99,product_b
SYN-00172,consumer,east,146,6,10,2,3,product_a
SYN-00173,consumer,north,60,3,156.7,0,171,product_b
SYN-00174,consumer,west,62,3,172.91,0,139,product_c
SYN-00175,small_business,east,109,7,271.64,2,66,product_b
SYN-00176,enterprise,south,46,10,916.11,2,46,product_b
SYN-00177,small_business,west,33,13,262.5,1,128,product_a
SYN-00178,small_business,north,166,4,420.24,3,114,product_b
SYN-00179,enterprise,west,9,19,869.12,1,110,product_a
SYN-00180,small_business,south,139,5,239.03,0,19,product_b
SYN-00181,small_business,west,22,7,248.13,3,155,product_b
SYN-00182,small_business,west,128,7,275.01,1,130,product_b
SYN-00183,consumer,north,84,4,10,0,128,product_b
SYN-00184,enterprise,east,53,19,772.49,2,115,product_a
SYN-00185,enterprise,north,20,19,856.3,2,39,product_a
SYN-00186,small_business,north,28,13,268.59,2,145,product_a
SYN-00187,enterprise,south,48,10,1106.76,2,135,product_b
SYN-00188,consumer,south,10,1,10,3,167,product_c
SYN-00189,enterprise,east,59,7,1018.61,5,178,product_c
SYN-00190,consumer,east,116,3,46.88,3,69,product_c
SYN-00191,small_business,east,9,10,364.96,1,180,product_b
SYN-00192,small_business,east,82,3,359.04,0,11,product_b
SYN-00193,small_business,north,74,14,428.22,0,0,product_a
SYN-00194,enterprise,north,51,20,815.54,3,111,product_a
SYN-00195,consumer,east,1,1,61.71,0,54,product_a
SYN-00196,consumer,south,14,0,195.91,2,64,product_c
SYN-00197,consumer,west,125,6,250.27,3,113,product_a
SYN-00198,consumer,west,163,4,24.25,2,60,product_b
SYN-00199,enterprise,west,30,18,1005.26,0,131,product_a
SYN-00200,small_business,west,160,12,271.63,2,22,product_a
SYN-00201,consumer,south,6,10,53.55,0,79,product_a
SYN-00202,enterprise,south,95,14,897.18,2,129,product_a
SYN-00203,small_business,south,102,7,342.18,0,138,product_b
SYN-00204,enterprise,west,58,15,1022.78,2,58,product_a
SYN-00205,enterprise,east,63,14,996.38,0,41,product_a
SYN-00206,enterprise,south,27,16,971.43,1,0,product_a
SYN-00207,small_business,east,116,7,398.43,4,48,product_b
SYN-00208,enterprise,west,163,10,901.61,2,119,product_c
SYN-00209,enterprise,east,159,17,961.22,2,167,product_a
SYN-00210,small_business,west,79,6,237.31,1,43,product_a
SYN-00211,enterprise,east,82,18,926.49,1,37,product_a
SYN-00212,enterprise,south,108,12,975.35,0,42,product_b
SYN-00213,enterprise,south,10,20,921.42,2,103,product_a
SYN-00214,enterprise,west,136,17,1158.85,2,5,product_a
SYN-00215,small_business,west,173,13,351.94,1,94,product_a
SYN-00216,enterprise,north,151,14,837.77,2,22,product_a
SYN-00217,small_business,west,53,8,307.75,2,152,product_b
SYN-00218,consumer,north,150,0,10,0,30,product_a
SYN-00219,enterprise,east,80,5,904.01,2,111,product_b
SYN-00220,consumer,south,151,0,56.44,1,28,product_b
SYN-00221,small_business,east,173,9,228.2,4,105,product_b
SYN-00222,consumer,south,129,0,38.17,4,175,product_c
SYN-00223,small_business,south,162,10,59.53,0,31,product_a
SYN-00224,enterprise,west,90,17,1066.33,4,73,product_c
SYN-00225,enterprise,north,121,16,902.65,1,22,product_a
SYN-00226,small_business,north,165,11,201.53,3,160,product_b
SYN-00227,consumer,south,38,4,310.67,0,110,product_b
SYN-00228,consumer,north,89,0,24.21,3,67,product_b
SYN-00229,small_business,north,3,11,211.29,1,29,product_a
SYN-00230,small_business,north,93,6,320.71,1,159,product_b
SYN-00231,small_business,north,37,10,275.61,0,140,product_a
SYN-00232,small_business,west,29,11,307.04,3,109,product_b
SYN-00233,consumer,south,6,5,151.02,0,141,product_b
SYN-00234,small_business,north,157,3,227.46,2,120,product_b
SYN-00235,enterprise,south,95,11,1301.7,1,119,product_c
SYN-00236,small_business,west,13,9,486.55,0,35,product_a
SYN-00237,consumer,south,87,0,121.18,0,20,product_b
SYN-00238,enterprise,south,40,11,875.34,1,67,product_a
SYN-00239,enterprise,east,13,7,1028.46,4,4,product_c
SYN-00240,enterprise,north,117,20,968.59,2,41,product_a
SYN-00241,small_business,east,117,14,293.61,1,14,product_a
SYN-00242,enterprise,north,124,10,992.61,1,62,product_b
SYN-00243,consumer,south,4,0,135.19,2,126,product_c
SYN-00244,small_business,east,39,11,256.8,1,152,product_b
SYN-00245,small_business,north,95,9,243.13,2,88,product_a
SYN-00246,consumer,east,144,10,38.42,1,122,product_a
SYN-00247,enterprise,east,139,16,909.77,1,144,product_b
SYN-00248,enterprise,north,53,17,966.33,0,84,product_a
SYN-00249,enterprise,east,94,13,896.14,0,104,product_b
SYN-00250,enterprise,west,171,12,998.01,1,83,product_c
SYN-00251,small_business,east,159,8,277.26,3,117,product_b
SYN-00252,small_business,north,172,4,206.2,5,105,product_b
SYN-00253,consumer,south,132,5,180.6,0,57,product_b
SYN-00254,consumer,west,148,4,235.32,0,94,product_a
SYN-00255,consumer,south,131,5,28.98,0,135,product_a
SYN-00256,enterprise,south,21,17,919.02,0,130,product_a
SYN-00257,enterprise,west,150,11,725.52,1,114,product_b
SYN-00258,consumer,west,158,5,10,2,115,product_a
SYN-00259,enterprise,south,103,15,1095.89,2,29,product_b
SYN-00260,small_business,south,136,8,253.02,0,85,product_b
SYN-00261,consumer,west,47,7,25.48,3,166,product_a
SYN-00262,consumer,south,14,6,52.89,3,7,product_a
SYN-00263,small_business,west,110,0,312.23,0,11,product_b
SYN-00264,consumer,east,39,0,125.41,1,95,product_b
SYN-00265,small_business,north,104,5,357.03,0,5,product_b
SYN-00266,enterprise,south,43,21,881.17,3,30,product_a
SYN-00267,consumer,south,51,0,10,1,180,product_b
SYN-00268,consumer,west,149,12,191.28,2,10,product_a
SYN-00269,consumer,west,124,0,94.73,3,99,product_c
SYN-00270,consumer,west,34,5,10,1,140,product_a
SYN-00271,consumer,east,131,6,149.78,1,110,product_a
SYN-00272,enterprise,west,171,16,735.52,0,153,product_b
SYN-00273,enterprise,west,102,14,1126.15,0,167,product_b
SYN-00274,small_business,north,133,7,255.69,1,34,product_b
SYN-00275,small_business,east,69,7,90.21,0,80,product_a
SYN-00276,small_business,north,17,11,392.8,2,77,product_a
SYN-00277,small_business,west,18,13,263.75,2,30,product_a
SYN-00278,small_business,north,174,18,272.0,0,31,product_a
SYN-00279,small_business,west,4,7,490.11,6,173,product_b
SYN-00280,enterprise,east,54,12,817.76,1,28,product_b
SYN-00281,consumer,east,7,0,22.88,0,114,product_b
SYN-00282,consumer,north,31,4,137.61,1,149,product_b
SYN-00283,consumer,east,50,0,353.76,2,77,product_b
SYN-00284,consumer,east,115,0,10,2,180,product_c
SYN-00285,enterprise,east,129,19,908.85,3,47,product_a
SYN-00286,consumer,west,13,0,10,1,0,product_c
SYN-00287,enterprise,east,65,16,1008.31,1,76,product_a
SYN-00288,consumer,east,137,8,46.84,4,110,product_a
SYN-00289,enterprise,west,29,13,1128.83,3,101,product_b
SYN-00290,small_business,north,28,12,235.88,0,23,product_a
SYN-00291,consumer,west,125,5,10,1,124,product_b
SYN-00292,small_business,north,139,13,403.05,1,97,product_a
SYN-00293,small_business,west,8,0,166.69,3,171,product_c
SYN-00294,consumer,west,74,10,10,1,1,product_a
SYN-00295,consumer,north,69,7,28.42,2,166,product_b
SYN-00296,small_business,east,101,17,373.78,2,32,product_a
SYN-00297,consumer,east,134,1,136.76,4,30,product_b
SYN-00298,enterprise,east,151,17,998.15,2,128,product_a
SYN-00299,small_business,north,8,6,395.39,1,153,product_a
SYN-00300,enterprise,north,48,19,973.26,0,76,product_a
SYN-00301,enterprise,south,44,17,1157.66,3,120,product_b
SYN-00302,small_business,north,166,7,301.08,3,1,product_b
SYN-00303,enterprise,west,54,26,950.29,1,97,product_a
SYN-00304,consumer,west,82,3,228.71,0,84,product_b
SYN-00305,consumer,west,50,8,10,1,143,product_a
SYN-00306,consumer,north,44,0,152.59,4,86,product_b
SYN-00307,consumer,north,85,1,10,1,22,product_a
SYN-00308,consumer,south,76,0,10,2,46,product_c
SYN-00309,small_business,east,135,2,363.57,0,164,product_b
SYN-00310,small_business,west,20,13,284.74,2,128,product_a
SYN-00311,small_business,east,164,5,469.5,1,44,product_b
SYN-00312,consumer,east,133,2,10,1,160,product_b
SYN-00313,enterprise,east,89,14,833.39,5,163,product_b
SYN-00314,consumer,west,66,2,10,0,34,product_a
SYN-00315,consumer,south,123,13,114.33,1,107,product_a
SYN-00316,enterprise,east,138,14,1061.34,2,83,product_b
SYN-00317,consumer,south,101,3,10,1,83,product_a
SYN-00318,small_business,north,147,15,388.42,2,145,product_a
SYN-00319,small_business,south,30,1,362.74,3,61,product_b
SYN-00320,enterprise,east,165,13,901.76,0,43,product_b
SYN-00321,enterprise,north,118,11,894.1,2,127,product_b
SYN-00322,consumer,north,138,3,193.27,4,134,product_b
SYN-00323,consumer,north,100,1,25.39,0,4,product_a
SYN-00324,small_business,east,99,11,270.23,1,53,product_b
SYN-00325,small_business,north,54,3,362.76,2,125,product_b
SYN-00326,small_business,south,99,16,210.7,1,59,product_a
SYN-00327,small_business,south,155,14,323.05,2,138,product_a
SYN-00328,small_business,south,115,8,404.76,3,50,product_b
SYN-00329,small_business,west,69,7,126.28,4,103,product_a
SYN-00330,small_business,west,10,10,297.59,1,144,product_a
SYN-00331,small_business,south,162,16,222.07,4,168,product_a
SYN-00332,consumer,east,68,0,182.11,0,110,product_b
SYN-00333,small_business,south,49,8,231.26,0,25,product_a
SYN-00334,small_business,east,23,16,505.62,1,133,product_a
SYN-00335,enterprise,north,124,10,1024.88,3,7,product_c
SYN-00336,enterprise,east,52,16,944.11,1,29,product_a
SYN-00337,consumer,south,92,1,86.72,1,42,product_c
SYN-00338,small_business,north,81,12,370.97,3,97,product_a
SYN-00339,small_business,north,82,3,375.46,2,170,product_b
SYN-00340,small_business,north,25,9,288.33,1,172,product_c
SYN-00341,consumer,west,17,5,10,1,138,product_a
SYN-00342,consumer,south,63,5,155.0,1,34,product_a
SYN-00343,enterprise,south,123,12,956.01,1,45,product_b
SYN-00344,small_business,north,35,13,195.1,1,18,product_a
SYN-00345,enterprise,south,57,18,808.02,2,162,product_a
SYN-00346,enterprise,north,30,16,956.62,1,22,product_a
SYN-00347,small_business,north,165,5,185.84,3,52,product_a
SYN-00348,consumer,south,126,6,149.52,3,80,product_a
SYN-00349,small_business,east,17,2,440.94,1,34,product_b
SYN-00350,enterprise,north,103,18,788.32,2,145,product_a
SYN-00351,small_business,north,68,10,538.69,4,0,product_c
SYN-00352,consumer,north,42,0,159.44,1,60,product_c
SYN-00353,small_business,north,124,7,10,0,174,product_a
SYN-00354,consumer,east,11,0,10,1,55,product_a
SYN-00355,small_business,east,126,15,218.33,0,1,product_a
SYN-00356,small_business,west,115,12,142.46,0,180,product_a
SYN-00357,consumer,west,9,2,89.31,1,32,product_c
SYN-00358,consumer,north,52,2,177.3,3,140,product_c
SYN-00359,enterprise,north,51,14,997.98,1,66,product_b
SYN-00360,consumer,east,3,4,47.26,1,76,product_c
SYN-00361,consumer,north,179,2,150.55,0,122,product_b
SYN-00362,enterprise,north,61,12,855.35,1,53,product_b
SYN-00363,consumer,north,135,0,173.41,0,74,product_b
SYN-00364,enterprise,east,116,9,856.1,0,23,product_b
SYN-00365,small_business,south,86,9,84.62,3,166,product_a
SYN-00366,consumer,north,128,6,10,2,28,product_a
SYN-00367,small_business,west,49,7,130.29,1,180,product_a
SYN-00368,consumer,north,136,8,121.69,1,104,product_a
SYN-00369,small_business,south,121,8,354.25,2,76,product_b
SYN-00370,small_business,north,111,9,288.01,2,114,product_b
SYN-00371,consumer,east,45,4,10,2,38,product_a
SYN-00372,consumer,north,122,1,10,0,84,product_b
SYN-00373,enterprise,north,155,19,961.97,2,99,product_a
SYN-00374,small_business,south,85,11,236.54,0,48,product_a
SYN-00375,enterprise,west,120,21,856.79,1,11,product_a
SYN-00376,small_business,east,180,4,317.44,1,126,product_b
SYN-00377,small_business,west,116,7,369.98,0,117,product_b
SYN-00378,small_business,south,173,6,264.2,0,125,product_b
SYN-00379,small_business,south,92,7,363.74,0,7,product_b
SYN-00380,consumer,west,129,0,60.77,1,56,product_a
SYN-00381,consumer,south,120,0,221.11,4,32,product_b
SYN-00382,enterprise,west,105,8,894.52,3,90,product_b
SYN-00383,small_business,north,115,9,360.47,0,150,product_b
SYN-00384,small_business,south,144,5,352.42,2,34,product_a
SYN-00385,small_business,west,157,9,353.17,2,35,product_b
SYN-00386,consumer,south,119,6,147.2,1,173,product_b
SYN-00387,small_business,north,177,10,422.45,4,114,product_b
SYN-00388,consumer,south,62,4,259.04,0,65,product_a
SYN-00389,enterprise,east,19,20,816.13,0,174,product_a
SYN-00390,enterprise,south,145,6,1032.83,0,56,product_b
SYN-00391,consumer,east,35,1,10,3,54,product_a
SYN-00392,enterprise,west,154,18,898.72,3,75,product_a
SYN-00393,small_business,north,153,8,175.69,0,39,product_a
SYN-00394,small_business,north,54,6,206.2,1,91,product_b
SYN-00395,consumer,east,54,0,10,3,158,product_c
SYN-00396,enterprise,west,9,10,893.37,0,180,product_c
SYN-00397,enterprise,south,36,17,907.56,1,78,product_a
SYN-00398,enterprise,east,174,14,1041.99,0,159,product_b
SYN-00399,enterprise,north,111,14,946.22,1,78,product_a
SYN-00400,consumer,west,89,1,10,5,163,product_a
SYN-00401,small_business,east,155,5,239.26,1,65,product_b
SYN-00402,small_business,east,113,5,135.45,3,69,product_c
SYN-00403,enterprise,north,36,6,1013.17,1,154,product_c
SYN-00404,consumer,west,4,3,105.42,1,65,product_b
SYN-00405,small_business,south,124,13,299.07,2,126,product_b
SYN-00406,small_business,north,151,9,277.93,1,33,product_a
SYN-00407,consumer,north,147,5,313.63,2,96,product_b
SYN-00408,enterprise,north,146,11,931.17,1,18,product_b
SYN-00409,consumer,west,40,4,61.22,0,20,product_a
SYN-00410,enterprise,east,91,20,798.11,1,120,product_a
SYN-00411,consumer,south,54,1,10,0,127,product_b
SYN-00412,enterprise,north,133,12,664.87,1,165,product_a
SYN-00413,consumer,west,87,5,99.18,0,46,product_a
SYN-00414,enterprise,east,11,25,997.7,1,5,product_a
SYN-00415,enterprise,west,113,21,1005.61,0,52,product_a
SYN-00416,consumer,west,32,3,88.36,2,161,product_c
SYN-00417,consumer,north,143,0,97.89,1,66,product_b
SYN-00418,enterprise,west,65,17,1073.54,2,58,product_a
SYN-00419,small_business,south,98,15,447.29,3,67,product_a
SYN-00420,consumer,north,160,0,365.98,3,73,product_b
SYN-00421,small_business,west,71,4,334.26,0,5,product_a
SYN-00422,enterprise,north,158,11,720.04,3,53,product_a
SYN-00423,small_business,east,41,11,418.26,0,79,product_a
SYN-00424,enterprise,north,85,10,1062.32,1,53,product_b
SYN-00425,small_business,north,43,4,295.59,2,161,product_c
SYN-00426,consumer,south,109,1,47.97,1,91,product_a
SYN-00427,consumer,east,78,2,88.6,1,107,product_b
SYN-00428,small_business,south,74,4,191.16,1,88,product_c
SYN-00429,enterprise,south,30,9,1175.34,3,118,product_c
SYN-00430,small_business,south,129,7,166.79,0,93,product_a
SYN-00431,small_business,west,143,6,306.34,3,4,product_b
SYN-00432,small_business,west,176,10,297.01,3,41,product_a
SYN-00433,small_business,south,21,1,296.5,1,105,product_c
SYN-00434,enterprise,north,94,13,1102.61,2,150,product_b
SYN-00435,small_business,south,62,5,312.02,2,39,product_a
SYN-00436,consumer,east,50,5,47.25,2,155,product_c
SYN-00437,enterprise,north,140,19,969.5,0,153,product_a
SYN-00438,enterprise,north,178,10,900.54,3,127,product_c
SYN-00439,small_business,east,105,3,547.88,3,136,product_b
SYN-00440,small_business,west,128,15,265.37,1,81,product_a
SYN-00441,enterprise,south,150,15,978.28,0,161,product_a
SYN-00442,consumer,south,178,0,148.45,0,55,product_b
SYN-00443,small_business,west,57,8,385.57,2,146,product_b
SYN-00444,consumer,west,8,0,162.97,3,150,product_c
SYN-00445,small_business,east,103,0,168.46,1,131,product_b
SYN-00446,consumer,west,165,5,130.02,0,178,product_b
SYN-00447,enterprise,east,122,4,791.64,2,95,product_b
SYN-00448,consumer,south,43,2,74.12,1,11,product_a
SYN-00449,enterprise,north,45,11,926.07,3,23,product_a
SYN-00450,consumer,south,29,0,321.01,3,156,product_c
SYN-00451,small_business,west,162,1,220.12,0,70,product_b
SYN-00452,small_business,north,12,6,270.15,2,31,product_b
SYN-00453,consumer,south,42,0,231.99,1,32,product_b
SYN-00454,small_business,east,99,8,402.39,0,112,product_c
SYN-00455,enterprise,east,148,21,1039.04,2,170,product_a
SYN-00456,enterprise,north,45,7,987.98,0,7,product_b
SYN-00457,small_business,north,69,9,442.2,1,80,product_b
SYN-00458,consumer,north,114,9,10,0,86,product_a
SYN-00459,small_business,east,55,2,365.27,0,159,product_b
SYN-00460,small_business,north,91,11,220.93,0,93,product_a
SYN-00461,small_business,north,75,10,539.05,2,69,product_b
SYN-00462,small_business,east,20,11,371.23,0,69,product_a
SYN-00463,consumer,east,121,4,79.77,4,94,product_a
SYN-00464,consumer,north,78,0,251.77,2,1,product_a
SYN-00465,consumer,north,73,13,81.55,3,116,product_a
SYN-00466,small_business,east,152,0,118.65,0,177,product_b
SYN-00467,enterprise,north,91,24,799.39,3,28,product_a
SYN-00468,enterprise,east,151,14,906.78,1,48,product_a
SYN-00469,consumer,south,44,0,21.42,0,115,product_b
SYN-00470,small_business,east,171,10,324.47,3,124,product_b
SYN-00471,enterprise,north,105,12,654.19,0,32,product_b
SYN-00472,enterprise,south,110,18,1004.28,3,91,product_a
SYN-00473,consumer,south,77,3,190.87,0,71,product_a
SYN-00474,consumer,north,22,0,10,1,33,product_a
SYN-00475,consumer,west,36,0,10,2,9,product_a
SYN-00476,consumer,east,47,1,147.91,4,21,product_c
